DATE,savings as a percent of income
01/01/02,6.1
01/02/02,5.8
01/03/02,5.9
01/04/02,5.8
01/05/02,6.5
01/06/02,6.4
01/07/02,5.5
01/08/02,5.4
01/09/02,5.7
01/10/02,5.7
01/11/02,5.7
01/12/02,5.5
01/01/03,5.5
01/02/03,5.6
01/03/03,5.3
01/04/03,5.3
01/05/03,5.8
01/06/03,5.5
01/07/03,6.2
01/08/03,6
01/09/03,5.1
01/10/03,5.3
01/11/03,5.4
01/12/03,5.4
01/01/04,5
01/02/04,5
01/03/04,4.9
01/04/04,5.3
01/05/04,5.2
01/06/04,5.8
01/07/04,5.2
01/08/04,5.1
01/09/04,4.6
01/10/04,4.5
01/11/04,4
01/12/04,6.8
01/01/05,3.6
01/02/05,3.2
01/03/05,3.4
01/04/05,3
01/05/05,3.5
01/06/05,2.8
01/07/05,2.2
01/08/05,2.6
01/09/05,2.6
01/10/05,3
01/11/05,3.5
01/12/05,3.6
01/01/06,4.2
01/02/06,4.2
01/03/06,4.2
01/04/06,3.9
01/05/06,3.7
01/06/06,3.9
01/07/06,3.3
01/08/06,3.6
01/09/06,3.5
01/10/06,3.5
01/11/06,3.9
01/12/06,3.7
01/01/07,3.6
01/02/07,4
01/03/07,4.3
01/04/07,4.1
01/05/07,3.9
01/06/07,3.7
01/07/07,3.6
01/08/07,3.3
01/09/07,3.5
01/10/07,3.3
01/11/07,3.1
01/12/07,3.5
01/01/08,3.7
01/02/08,4.1
01/03/08,4
01/04/08,3.4
01/05/08,7.8
01/06/08,5.5
01/07/08,4.4
01/08/08,3.8
01/09/08,4.7
01/10/08,5.5
01/11/08,6.5
01/12/08,6.4
01/01/09,6.2
01/02/09,5.5
01/03/09,5.9
01/04/09,6.8
01/05/09,8.2
01/06/09,6.7
01/07/09,6
01/08/09,4.9
01/09/09,5.9
01/10/09,5.4
01/11/09,5.9
01/12/09,5.9
01/01/10,6.1
01/02/10,5.8
01/03/10,5.7
01/04/10,6.4
01/05/10,7
01/06/10,6.9
01/07/10,6.8
01/08/10,6.9
01/09/10,6.7
01/10/10,6.6
01/11/10,6.6
01/12/10,7.1
01/01/11,7.4
01/02/11,7.6
01/03/11,7
01/04/11,6.9
01/05/11,6.9
01/06/11,7.2
01/07/11,7.2
01/08/11,7.2
01/09/11,6.8
01/10/11,6.8
01/11/11,6.9
01/12/11,7.8
01/01/12,8
01/02/12,8
01/03/12,8.5
01/04/12,8.7
01/05/12,8.8
01/06/12,9.1
01/07/12,8.2
01/08/12,7.9
01/09/12,8.2
01/10/12,8.8
01/11/12,9.7
01/12/12,12
01/01/13,6.3
01/02/13,5.8
01/03/13,5.9
01/04/13,6.4
01/05/13,6.7
01/06/13,6.8
01/07/13,6.6
01/08/13,6.7
01/09/13,6.8
01/10/13,6.2
01/11/13,6.1
01/12/13,6.4
01/01/14,7.1
01/02/14,7.1
01/03/14,7.2
01/04/14,7.2
01/05/14,7.4
01/06/14,7.5
01/07/14,7.5
01/08/14,7.3
01/09/14,7.5
01/10/14,7.3
01/11/14,7.4
01/12/14,7.7
01/01/15,8.1
01/02/15,8.2
01/03/15,7.7
01/04/15,7.6
01/05/15,7.5
01/06/15,7.4
01/07/15,7.3
01/08/15,7.3
01/09/15,7.4
01/10/15,7.5
01/11/15,7.2
01/12/15,7.3
01/01/16,7.6
01/02/16,7.2
01/03/16,7.5
01/04/16,7.1
01/05/16,6.9
01/06/16,6.5
01/07/16,6.7
01/08/16,6.6
01/09/16,6.6
01/10/16,6.8
01/11/16,6.7
01/12/16,6.4
01/01/17,6.7
01/02/17,7
01/03/17,7
01/04/17,7.1
01/05/17,7.6
01/06/17,7.4
01/07/17,7.5
01/08/17,7.6
01/09/17,7.3
01/10/17,7.4
01/11/17,7
01/12/17,6.6
01/01/18,7.5
01/02/18,7.8
01/03/18,7.8
01/04/18,7.7
01/05/18,7.7
01/06/18,7.9
01/07/18,7.9
01/08/18,7.8
01/09/18,7.9
01/10/18,7.6
01/11/18,7.4
01/12/18,9.1
01/01/19,8.5
01/02/19,8.6
01/03/19,8
01/04/19,7.5
01/05/19,7.3
01/06/19,7.1
01/07/19,7
01/08/19,7.3
01/09/19,7.3
01/10/19,7.2
01/11/19,7.5
01/12/19,7.2
01/01/20,7.6
01/02/20,8.3
01/03/20,12.9
01/04/20,33.7
01/05/20,24.7
01/06/20,19
01/07/20,18.5
01/08/20,15
01/09/20,14.4
01/10/20,13.6
01/11/20,12.9