DATE,Vacant housing units
2002-01,14342
2002-02,14297
2002-03,14252
2002-04,14207
2002-05,14265.66667
2002-06,14324.33333
2002-07,14383
2002-08,14452.33333
2002-09,14521.66667
2002-10,14591
2002-11,14696.66667
2002-12,14802.33333
2003-01,14908
2003-02,15020
2003-03,15132
2003-04,15244
2003-05,15367.33333
2003-06,15490.66667
2003-07,15614
2003-08,15627.33333
2003-09,15640.66667
2003-10,15654
2003-11,15734.33333
2003-12,15814.66667
2004-01,15895
2004-02,15956.33333
2004-03,16017.66667
2004-04,16079
2004-05,15938
2004-06,15797
2004-07,15656
2004-08,15557.66667
2004-09,15459.33333
2004-10,15361
2004-11,15490
2004-12,15619
2005-01,15748
2005-02,15852.33333
2005-03,15956.66667
2005-04,16061
2005-05,16001.66667
2005-06,15942.33333
2005-07,15883
2005-08,15863
2005-09,15843
2005-10,15823
2005-11,15960
2005-12,16097
2006-01,16234
2006-02,16327
2006-03,16420
2006-04,16513
2006-05,16598.33333
2006-06,16683.66667
2006-07,16769
2006-08,16810.66667
2006-09,16852.33333
2006-10,16894
2006-11,17170.66667
2006-12,17447.33333
2007-01,17724
2007-02,17665
2007-03,17606
2007-04,17547
2007-05,17714.33333
2007-06,17881.66667
2007-07,18049
2007-08,18002.66667
2007-09,17956.33333
2007-10,17910
2007-11,18154
2007-12,18398
2008-01,18642
2008-02,18661.66667
2008-03,18681.33333
2008-04,18701
2008-05,18684.33333
2008-06,18667.66667
2008-07,18651
2008-08,18758.33333
2008-09,18865.66667
2008-10,18973
2008-11,19027.66667
2008-12,19082.33333
2009-01,19137
2009-02,19008.66667
2009-03,18880.33333
2009-04,18752
2009-05,18833.33333
2009-06,18914.66667
2009-07,18996
2009-08,18999.33333
2009-09,19002.66667
2009-10,19006
2009-11,19045.66667
2009-12,19085.33333
2010-01,19125
2010-02,19090.66667
2010-03,19056.33333
2010-04,19022
2010-05,18992
2010-06,18962
2010-07,18932
2010-08,18804.66667
2010-09,18677.33333
2010-10,18550
2010-11,18699
2010-12,18848
2011-01,18997
2011-02,18945.33333
2011-03,18893.66667
2011-04,18842
2011-05,18829
2011-06,18816
2011-07,18803
2011-08,18665
2011-09,18527
2011-10,18389
2011-11,18417.66667
2011-12,18446.33333
2012-01,18475
2012-02,18489.66667
2012-03,18504.33333
2012-04,18519
2012-05,18395.66667
2012-06,18272.33333
2012-07,18149
2012-08,18079
2012-09,18009
2012-10,17939
2012-11,18113
2012-12,18287
2013-01,18461
2013-02,18362.66667
2013-03,18264.33333
2013-04,18166
2013-05,18170.33333
2013-06,18174.66667
2013-07,18179
2013-08,18149.33333
2013-09,18119.66667
2013-10,18090
2013-11,18212.33333
2013-12,18334.66667
2014-01,18457
2014-02,18379
2014-03,18301
2014-04,18223
2014-05,18206.66667
2014-06,18190.33333
2014-07,18174
2014-08,17769.33333
2014-09,17364.66667
2014-10,16960
2014-11,17142.66667
2014-12,17325.33333
2015-01,17508
2015-02,17466.66667
2015-03,17425.33333
2015-04,17384
2015-05,17428
2015-06,17472
2015-07,17516
2015-08,17442.33333
2015-09,17368.66667
2015-10,17295
2015-11,17451.66667
2015-12,17608.33333
2016-01,17765
2016-02,17602.33333
2016-03,17439.66667
2016-04,17277
2016-05,17241
2016-06,17205
2016-07,17169
2016-08,17225
2016-09,17281
2016-10,17337
2016-11,17356
2016-12,17375
2017-01,17394
2017-02,17478.66667
2017-03,17563.33333
2017-04,17648
2017-05,17664
2017-06,17680
2017-07,17696
2017-08,17405.66667
2017-09,17115.33333
2017-10,16825
2017-11,16973.33333
2017-12,17121.66667
2018-01,17270
2018-02,17204.33333
2018-03,17138.66667
2018-04,17073
2018-05,17127
2018-06,17181
2018-07,17235
2018-08,16955
2018-09,16675
2018-10,16395
2018-11,16538.66667
2018-12,16682.33333
2019-01,16826
2019-02,16898.66667
2019-03,16971.33333
2019-04,17044
2019-05,17046.33333
2019-06,17048.66667
2019-07,17051
2019-08,16741.66667
2019-09,16432.33333
2019-10,16123
2019-11,16073.66667
2019-12,16024.33333
2020-01,15975
2020-02,15275.66667
2020-03,14576.33333
2020-04,13877
2020-05,14000
2020-06,14123
2020-07,14246
2020-08,14643
2020-09,15040
2020-10,15437
2020-11,15730