DATE,employees working in construction 
01/01/02,6775
01/02/02,6766
01/03/02,6755
01/04/02,6710
01/05/02,6684
01/06/02,6701
01/07/02,6688
01/08/02,6701
01/09/02,6702
01/10/02,6689
01/11/02,6713
01/12/02,6700
01/01/03,6704
01/02/03,6667
01/03/03,6654
01/04/03,6689
01/05/03,6706
01/06/03,6723
01/07/03,6735
01/08/03,6760
01/09/03,6783
01/10/03,6784
01/11/03,6796
01/12/03,6827
01/01/04,6848
01/02/04,6838
01/03/04,6887
01/04/04,6901
01/05/04,6948
01/06/04,6962
01/07/04,6977
01/08/04,7003
01/09/04,7029
01/10/04,7077
01/11/04,7091
01/12/04,7117
01/01/05,7095
01/02/05,7153
01/03/05,7181
01/04/05,7266
01/05/05,7294
01/06/05,7333
01/07/05,7353
01/08/05,7394
01/09/05,7415
01/10/05,7460
01/11/05,7524
01/12/05,7533
01/01/06,7601
01/02/06,7664
01/03/06,7689
01/04/06,7726
01/05/06,7713
01/06/06,7699
01/07/06,7712
01/08/06,7720
01/09/06,7718
01/10/06,7682
01/11/06,7666
01/12/06,7685
01/01/07,7725
01/02/07,7626
01/03/07,7706
01/04/07,7686
01/05/07,7673
01/06/07,7687
01/07/07,7660
01/08/07,7610
01/09/07,7577
01/10/07,7565
01/11/07,7523
01/12/07,7490
01/01/08,7476
01/02/08,7453
01/03/08,7406
01/04/08,7327
01/05/08,7274
01/06/08,7213
01/07/08,7160
01/08/08,7114
01/09/08,7044
01/10/08,6967
01/11/08,6813
01/12/08,6701
01/01/09,6567
01/02/09,6446
01/03/09,6291
01/04/09,6154
01/05/09,6100
01/06/09,6010
01/07/09,5932
01/08/09,5855
01/09/09,5787
01/10/09,5716
01/11/09,5696
01/12/09,5654
01/01/10,5580
01/02/10,5500
01/03/10,5537
01/04/10,5553
01/05/10,5520
01/06/10,5516
01/07/10,5508
01/08/10,5524
01/09/10,5501
01/10/10,5508
01/11/10,5506
01/12/10,5467
01/01/11,5427
01/02/11,5451
01/03/11,5477
01/04/11,5485
01/05/11,5516
01/06/11,5528
01/07/11,5547
01/08/11,5552
01/09/11,5584
01/10/11,5588
01/11/11,5593
01/12/11,5611
01/01/12,5626
01/02/12,5629
01/03/12,5625
01/04/12,5618
01/05/12,5604
01/06/12,5621
01/07/12,5632
01/08/12,5648
01/09/12,5661
01/10/12,5674
01/11/12,5684
01/12/12,5724
01/01/13,5746
01/02/13,5784
01/03/13,5802
01/04/13,5796
01/05/13,5829
01/06/13,5855
01/07/13,5859
01/08/13,5878
01/09/13,5910
01/10/13,5931
01/11/13,5963
01/12/13,5932
01/01/14,5985
01/02/14,6007
01/03/14,6038
01/04/14,6084
01/05/14,6109
01/06/14,6133
01/07/14,6178
01/08/14,6210
01/09/14,6242
01/10/14,6259
01/11/14,6272
01/12/14,6293
01/01/15,6320
01/02/15,6361
01/03/15,6334
01/04/15,6392
01/05/15,6427
01/06/15,6441
01/07/15,6472
01/08/15,6490
01/09/15,6508
01/10/15,6547
01/11/15,6598
01/12/15,6630
01/01/16,6620
01/02/16,6650
01/03/16,6680
01/04/16,6701
01/05/16,6691
01/06/16,6702
01/07/16,6736
01/08/16,6737
01/09/16,6768
01/10/16,6798
01/11/16,6819
01/12/16,6821
01/01/17,6847
01/02/17,6889
01/03/17,6909
01/04/17,6916
01/05/17,6928
01/06/17,6955
01/07/17,6960
01/08/17,6990
01/09/17,7004
01/10/17,7027
01/11/17,7066
01/12/17,7093
01/01/18,7114
01/02/18,7200
01/03/18,7205
01/04/18,7223
01/05/18,7266
01/06/18,7282
01/07/18,7304
01/08/18,7335
01/09/18,7355
01/10/18,7378
01/11/18,7376
01/12/18,7402
01/01/19,7452
01/02/19,7423
01/03/19,7443
01/04/19,7469
01/05/19,7478
01/06/19,7497
01/07/19,7504
01/08/19,7508
01/09/19,7524
01/10/19,7541
01/11/19,7539
01/12/19,7555
01/01/20,7593
01/02/20,7639
01/03/20,7574
01/04/20,6556
01/05/20,7012
01/06/20,7171
01/07/20,7202
01/08/20,7226
01/09/20,7261
01/10/20,7333
01/11/20,7362