DATE,housing units completed
01/01/02,1632
01/02/02,1671
01/03/02,1559
01/04/02,1625
01/05/02,1705
01/06/02,1589
01/07/02,1615
01/08/02,1722
01/09/02,1641
01/10/02,1601
01/11/02,1718
01/12/02,1671
01/01/03,1654
01/02/03,1688
01/03/03,1638
01/04/03,1662
01/05/03,1733
01/06/03,1641
01/07/03,1680
01/08/03,1570
01/09/03,1719
01/10/03,1728
01/11/03,1692
01/12/03,1716
01/01/04,1709
01/02/04,1718
01/03/04,1794
01/04/04,1938
01/05/04,1893
01/06/04,1857
01/07/04,1881
01/08/04,1911
01/09/04,1796
01/10/04,1839
01/11/04,1758
01/12/04,1921
01/01/05,1892
01/02/05,1908
01/03/05,1787
01/04/05,1927
01/05/05,2103
01/06/05,1965
01/07/05,1886
01/08/05,1952
01/09/05,1922
01/10/05,1962
01/11/05,1907
01/12/05,1941
01/01/06,2036
01/02/06,2048
01/03/06,2245
01/04/06,2071
01/05/06,1897
01/06/06,2050
01/07/06,1934
01/08/06,1877
01/09/06,2011
01/10/06,1918
01/11/06,1893
01/12/06,1888
01/01/07,1822
01/02/07,1640
01/03/07,1623
01/04/07,1539
01/05/07,1536
01/06/07,1481
01/07/07,1534
01/08/07,1512
01/09/07,1356
01/10/07,1405
01/11/07,1390
01/12/07,1328
01/01/08,1331
01/02/08,1274
01/03/08,1195
01/04/08,1022
01/05/08,1142
01/06/08,1142
01/07/08,1087
01/08/08,1017
01/09/08,1160
01/10/08,1055
01/11/08,1076
01/12/08,1021
01/01/09,777
01/02/09,819
01/03/09,839
01/04/09,846
01/05/09,818
01/06/09,797
01/07/09,797
01/08/09,792
01/09/09,721
01/10/09,746
01/11/09,844
01/12/09,750
01/01/10,689
01/02/10,670
01/03/10,635
01/04/10,737
01/05/10,702
01/06/10,894
01/07/10,572
01/08/10,592
01/09/10,632
01/10/10,605
01/11/10,552
01/12/10,565
01/01/11,520
01/02/11,615
01/03/11,591
01/04/11,549
01/05/11,549
01/06/11,579
01/07/11,634
01/08/11,614
01/09/11,603
01/10/11,566
01/11/11,585
01/12/11,610
01/01/12,545
01/02/12,561
01/03/12,582
01/04/12,671
01/05/12,626
01/06/12,625
01/07/12,676
01/08/12,684
01/09/12,652
01/10/12,730
01/11/12,668
01/12/12,677
01/01/13,714
01/02/13,729
01/03/13,816
01/04/13,712
01/05/13,708
01/06/13,736
01/07/13,784
01/08/13,765
01/09/13,776
01/10/13,801
01/11/13,839
01/12/13,778
01/01/14,838
01/02/14,876
01/03/14,893
01/04/14,834
01/05/14,891
01/06/14,800
01/07/14,839
01/08/14,908
01/09/14,975
01/10/14,920
01/11/14,863
01/12/14,955
01/01/15,954
01/02/15,863
01/03/15,781
01/04/15,1001
01/05/15,1012
01/06/15,962
01/07/15,988
01/08/15,974
01/09/15,1040
01/10/15,985
01/11/15,1000
01/12/15,1023
01/01/16,1054
01/02/16,1033
01/03/16,1005
01/04/16,952
01/05/16,996
01/06/16,1109
01/07/16,1076
01/08/16,1049
01/09/16,1032
01/10/16,1069
01/11/16,1233
01/12/16,1103
01/01/17,1075
01/02/17,1144
01/03/17,1167
01/04/17,1079
01/05/17,1165
01/06/17,1235
01/07/17,1186
01/08/17,1091
01/09/17,1105
01/10/17,1191
01/11/17,1165
01/12/17,1209
01/01/18,1208
01/02/18,1283
01/03/18,1200
01/04/18,1231
01/05/18,1255
01/06/18,1216
01/07/18,1179
01/08/18,1238
01/09/18,1166
01/10/18,1115
01/11/18,1119
01/12/18,1055
01/01/19,1256
01/02/19,1328
01/03/19,1332
01/04/19,1334
01/05/19,1230
01/06/19,1166
01/07/19,1258
01/08/19,1263
01/09/19,1123
01/10/19,1274
01/11/19,1222
01/12/19,1312
01/01/20,1305
01/02/20,1297
01/03/20,1280
01/04/20,1212
01/05/20,1180
01/06/20,1245
01/07/20,1338
01/08/20,1216
01/09/20,1411
01/10/20,1343
01/11/20,1223