DATE,monthly supply ratio
01/01/02,4.2
01/02/02,4
01/03/02,4.1
01/04/02,4.3
01/05/02,4
01/06/02,4.2
01/07/02,4.2
01/08/02,4
01/09/02,3.9
01/10/02,4
01/11/02,4
01/12/02,4
01/01/03,4
01/02/03,4.5
01/03/03,4.1
01/04/03,4.1
01/05/03,3.9
01/06/03,3.5
01/07/03,3.6
01/08/03,3.5
01/09/03,3.8
01/10/03,3.8
01/11/03,4.1
01/12/03,4
01/01/04,3.8
01/02/04,3.7
01/03/04,3.6
01/04/04,4
01/05/04,3.8
01/06/04,3.9
01/07/04,4.5
01/08/04,4.3
01/09/04,4.1
01/10/04,3.9
01/11/04,4.3
01/12/04,4.1
01/01/05,4.4
01/02/05,4.3
01/03/05,4.1
01/04/05,4.3
01/05/05,4.2
01/06/05,4.3
01/07/05,4.2
01/08/05,4.5
01/09/05,4.7
01/10/05,4.5
01/11/05,5
01/12/05,4.9
01/01/06,5.3
01/02/06,6.1
01/03/06,5.9
01/04/06,6.3
01/05/06,6.2
01/06/06,6.3
01/07/06,7.3
01/08/06,6.7
01/09/06,6.7
01/10/06,7.3
01/11/06,6.6
01/12/06,6.5
01/01/07,7.2
01/02/07,7.9
01/03/07,7.9
01/04/07,7.4
01/05/07,7.8
01/06/07,8.2
01/07/07,8.3
01/08/07,9.2
01/09/07,9.2
01/10/07,8.5
01/11/07,9.4
01/12/07,9.6
01/01/08,9.3
01/02/08,9.7
01/03/08,10.5
01/04/08,10.3
01/05/08,10.7
01/06/08,10.7
01/07/08,10.5
01/08/08,11.3
01/09/08,10.9
01/10/08,11.6
01/11/08,11.4
01/12/08,11.2
01/01/09,12.2
01/02/09,10.5
01/03/09,11
01/04/09,10.7
01/05/09,9.3
01/06/09,8.5
01/07/09,7.9
01/08/09,7.5
01/09/09,7.8
01/10/09,7.4
01/11/09,7.6
01/12/09,8
01/01/10,8.1
01/02/10,8.3
01/03/10,7.1
01/04/10,6.2
01/05/10,9.3
01/06/10,8.3
01/07/10,8.9
01/08/10,8.8
01/09/10,7.6
01/10/10,8.2
01/11/10,8.2
01/12/10,7
01/01/11,7.3
01/02/11,8.1
01/03/11,7.2
01/04/11,6.7
01/05/11,6.6
01/06/11,6.6
01/07/11,6.7
01/08/11,6.5
01/09/11,6.3
01/10/11,6
01/11/11,5.7
01/12/11,5.3
01/01/12,5.3
01/02/12,4.8
01/03/12,4.9
01/04/12,4.9
01/05/12,4.7
01/06/12,4.8
01/07/12,4.6
01/08/12,4.6
01/09/12,4.5
01/10/12,4.9
01/11/12,4.6
01/12/12,4.5
01/01/13,4
01/02/13,4.1
01/03/13,4.2
01/04/13,4.4
01/05/13,4.6
01/06/13,4.1
01/07/13,5.5
01/08/13,5.5
01/09/13,5.4
01/10/13,4.9
01/11/13,5
01/12/13,5.2
01/01/14,5.1
01/02/14,5.3
01/03/14,5.6
01/04/14,5.7
01/05/14,5.2
01/06/14,5.7
01/07/14,6.2
01/08/14,5.4
01/09/14,5.4
01/10/14,5.3
01/11/14,5.7
01/12/14,5.1
01/01/15,4.8
01/02/15,4.5
01/03/15,5.1
01/04/15,4.9
01/05/15,5
01/06/15,5.4
01/07/15,5.2
01/08/15,5
01/09/15,5.9
01/10/15,5.6
01/11/15,5.5
01/12/15,5.1
01/01/16,5.6
01/02/16,5.6
01/03/16,5.5
01/04/16,5.1
01/05/16,5.2
01/06/16,5.2
01/07/16,4.5
01/08/16,4.9
01/09/16,5.2
01/10/16,5.1
01/11/16,5.2
01/12/16,5.4
01/01/17,5.3
01/02/17,5.2
01/03/17,5
01/04/17,5.5
01/05/17,5.3
01/06/17,5.3
01/07/17,5.9
01/08/17,6
01/09/17,5.3
01/10/17,5.5
01/11/17,4.9
01/12/17,5.4
01/01/18,5.6
01/02/18,5.6
01/03/18,5.4
01/04/18,5.7
01/05/18,5.5
01/06/18,6.1
01/07/18,6.1
01/08/18,6.4
01/09/18,6.5
01/10/18,7.2
01/11/18,6.5
01/12/18,7.4
01/01/19,6.5
01/02/19,6.1
01/03/19,5.8
01/04/19,6.1
01/05/19,6.7
01/06/19,5.5
01/07/19,6
01/08/19,5.5
01/09/19,5.3
01/10/19,5.5
01/11/19,5.6
01/12/19,5.3
01/01/20,5
01/02/20,5.5
01/03/20,6.5
01/04/20,6.8
01/05/20,5.3
01/06/20,4.3
01/07/20,3.6
01/08/20,3.5
01/09/20,3.6
01/10/20,3.6
01/11/20,4.2